contestId,contestName,perf,rank
1905,Codeforces Round 915 (Div. 2),1824,5769
1905,Codeforces Round 915 (Div. 2),null,5769
1913,Educational Codeforces Round 160 (Rated for Div. 2),1540,8717
1913,Educational Codeforces Round 160 (Rated for Div. 2),null,8717
1914,Codeforces Round 916 (Div. 3),1571,7288
1914,Codeforces Round 916 (Div. 3),null,7288
1915,Codeforces Round 918 (Div. 4),1518,5660
1915,Codeforces Round 918 (Div. 4),null,5660
1919,Hello 2024,1407,10102
1919,Hello 2024,null,10102
1920,Codeforces Round 919 (Div. 2),1328,7846
1920,Codeforces Round 919 (Div. 2),null,7846
1933,Codeforces Round 929 (Div. 3),1273,6190
1933,Codeforces Round 929 (Div. 3),null,6190
1937,Codeforces Round 930 (Div. 2),1262,5653
1937,Codeforces Round 930 (Div. 2),null,5653
1934,Codeforces Round 931 (Div. 2),1232,6264
1934,Codeforces Round 931 (Div. 2),null,6264
1935,Codeforces Round 932 (Div. 2),1316,6272
1935,Codeforces Round 932 (Div. 2),null,6272
1941,Codeforces Round 933 (Div. 3),1297,5700
1941,Codeforces Round 933 (Div. 3),null,5700
1944,Codeforces Round 934 (Div. 2),1052,7881
1944,Codeforces Round 934 (Div. 2),null,7881
1946,Codeforces Round 936 (Div. 2),1371,4807
1946,Codeforces Round 936 (Div. 2),null,4807
1950,Codeforces Round 937 (Div. 4),1311,4545
1950,Codeforces Round 937 (Div. 4),null,4545
1955,Codeforces Round 938 (Div. 3),1294,5731
1955,Codeforces Round 938 (Div. 3),null,5731
1954,Educational Codeforces Round 164 (Rated for Div. 2),1441,4179
1954,Educational Codeforces Round 164 (Rated for Div. 2),null,4179
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,1335,4499
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,null,4499
1966,Codeforces Round 941 (Div. 2),1120,5610
1966,Codeforces Round 941 (Div. 2),null,5610
1969,Educational Codeforces Round 165 (Rated for Div. 2),1274,4915
1969,Educational Codeforces Round 165 (Rated for Div. 2),null,4915
1971,Codeforces Round 944 (Div. 4),879,14877
