contestId,contestName,perf,rank
1286,Codeforces Round 612 (Div. 1),2093,423
1292,Codeforces Round 614 (Div. 1),2509,149
1290,Codeforces Round 616 (Div. 1),1963,559
1299,Codeforces Round 618 (Div. 1),2017,583
1304,Codeforces Round 620 (Div. 2),2726,12
1326,Codeforces Global Round 7,1617,3808
1329,Codeforces Round 631 (Div. 1) - Thanks  Denis aramis Shitov!,2131,602
1338,Codeforces Round 633 (Div. 1),2531,190
1336,Codeforces Round 635 (Div. 1),1954,927
1349,Codeforces Round 641 (Div. 1),2439,255
1361,Codeforces Round 647 (Div. 1) - Thanks  Algo Muse!,2310,317
1368,Codeforces Global Round 8,2619,155
1375,Codeforces Global Round 9,1912,2014
1381,Codeforces Round 658 (Div. 1),2401,260
1383,Codeforces Round 659 (Div. 1),2871,54
1394,Codeforces Round 664 (Div. 1),2460,202
1396,Codeforces Round 666 (Div. 1),2473,210
1416,Codeforces Round 673 (Div. 1),2747,64
1427,Codeforces Global Round 11,2775,88
1428,Codeforces Raif Round 1 (Div. 1 + Div. 2),2739,87
1466,Good Bye 2020,2582,202
1479,Codeforces Round 700 (Div. 1),2792,76
1503,Codeforces Round 712 (Div. 1),2593,132
