contestId,contestName,perf,rank,division,mu
1905,Codeforces Round 915 (Div. 2),1824.0,5769,Div. 2,1064.38
1913,Educational Codeforces Round 160 (Rated for Div. 2),1540.0,8717,Div. 2,1064.38
1914,Codeforces Round 916 (Div. 3),1571.0,7288,Div. 3,884.8500000000001
1915,Codeforces Round 918 (Div. 4),1518.0,5660,Div. 4,742.4699999999996
1919,Hello 2024,1407.0,10102,,
1920,Codeforces Round 919 (Div. 2),1328.0,7846,Div. 2,1064.38
1933,Codeforces Round 929 (Div. 3),1273.0,6190,Div. 3,884.8499999999999
1937,Codeforces Round 930 (Div. 2),1262.0,5653,Div. 2,1064.38
1934,Codeforces Round 931 (Div. 2),1232.0,6264,Div. 2,1064.38
1935,Codeforces Round 932 (Div. 2),1316.0,6272,Div. 2,1064.38
1941,Codeforces Round 933 (Div. 3),1297.0,5700,Div. 3,884.8500000000001
1944,Codeforces Round 934 (Div. 2),1052.0,7881,Div. 2,1064.38
1946,Codeforces Round 936 (Div. 2),1371.0,4807,Div. 2,1064.38
1950,Codeforces Round 937 (Div. 4),1311.0,4545,Div. 4,742.4699999999996
1955,Codeforces Round 938 (Div. 3),1294.0,5731,Div. 3,884.85
1954,Educational Codeforces Round 164 (Rated for Div. 2),1441.0,4179,Div. 2,1064.38
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,1335.0,4499,Div. 2,1064.38
1966,Codeforces Round 941 (Div. 2),1120.0,5610,Div. 2,1064.38
1969,Educational Codeforces Round 165 (Rated for Div. 2),1274.0,4915,Div. 2,1064.38
1971,Codeforces Round 944 (Div. 4),879.0,14877,Div. 4,742.47
1973,Codeforces Round 945 (Div. 2),1337.0,4613,Div. 2,1064.38
1974,Codeforces Round 946 (Div. 3),1286.0,4812,Div. 3,884.8500000000001
1975,Codeforces Round 947 (Div. 1 + Div. 2),1360.0,4695,Div. 1,2229.86
1977,Codeforces Round 948 (Div. 2),1236.0,6194,Div. 2,1064.38
1981,Codeforces Round 949 (Div. 2),1237.0,5102,Div. 2,1064.38
1980,Codeforces Round 950 (Div. 3),1424.0,4146,Div. 3,884.8499999999998
1979,Codeforces Round 951 (Div. 2),1475.0,4114,Div. 2,1064.38
1985,Codeforces Round 952 (Div. 4),1208.0,5593,Div. 4,742.47
1978,Codeforces Round 953 (Div. 2),1627.0,1934,Div. 2,1064.3800000000003
1986,Codeforces Round 954 (Div. 3),1291.0,5843,Div. 3,884.8500000000001
1982,Codeforces Round 955 (Div. 2  with prizes from NEAR!),1403.0,4378,Div. 2,1064.38
1989,Educational Codeforces Round 167 (Rated for Div. 2),1477.0,3715,Div. 2,1064.38
